stop_id,stop_name,stop_lat,stop_lon
819,Bałtycka - Głowackiego,53.1301423989414,18.0494964628824
820,Morska,53.1297500911434,18.0532215167255
821,Morska,53.1295852804955,18.0554376063001
822,Bałtycka - Głowackiego,53.1298866713543,18.0492989223221
823,Żwirki i Wigury - Jaskółcza,53.1118888489159,17.9705333359553
824,Szubińska - Żwirki i Wigury,53.1160522361829,17.9662170174879
825,Władysława IV - Stawowa,53.1206121922927,17.9633023906383
826,Władysława IV - Czerwonego Krzyża,53.1237227262743,17.9608107096416
827,Leśne,53.1419144963911,18.0304696383265
828,Rondo Skrzetuskie,53.1261961676748,18.0367781848822
829,Fordońska - Kapliczna,53.1292474357111,18.0980553806526
830,Dworzec - Akademia,53.1392784994073,18.1380500331505
831,Fordońska - Wyszogrodzka,53.1421155149479,18.1484422220173
832,Dworzec Fordon,53.1440245138427,18.1554771250623
833,Wyzwolenia - Styki,53.1526709092259,18.1712212628089
834,Dworzec Fordon,53.1447473022506,18.1573848515312
835,Fordońska - Wyszogrodzka,53.1421684022638,18.1478029718782
836,Fordońska - Kapliczna,53.1291891496153,18.0968401059167
837,Rondo Fordońskie,53.1218865808696,18.0358014680794
838,Rondo Skrzetuskie,53.1278057334405,18.038192478025
839,Powst. Wielkopolskich - Wyszyńskiego,53.130027007933,18.0360766409168
840,Leśne,53.1422736410981,18.0311978659667
842,Glinki - Zelwerowicza,53.1063793275219,18.0235905108965
843,Magnuszewska,53.1047422349477,18.027495214949
844,Magnuszewska,53.1048407546624,18.0260975111656
845,Glinki - Zelwerowicza,53.1073093643498,18.0230879375828
846,Glinki - Cmentarna,53.1091325575597,18.0192855528892
849,Dworzec Główny,53.1346947165013,17.9927576461605
850,Przemysłowa - Portowa,53.1262219456212,18.0964770987216
851,Przemysłowa - Os. Rzemieślnicze,53.1253588682366,18.1023353123576
852,Przemysłowa - Tartak,53.1240030162751,18.1091444056573
853,Przemysłowa,53.11990682633,18.1141253533806
854,Przemysłowa - Tartak,53.1233875893089,18.1103258212831
855,Przemysłowa - Os. Rzemieślnicze,53.1256674170891,18.1005037048994
856,Przemysłowa - Portowa,53.1264964888924,18.0949120820493
857,Rondo Toruńskie,53.1158936500826,18.0334806863718
858,Rondo Fordońskie,53.1220515296135,18.0349759639402
859,Rondo Toruńskie,53.1162753893967,18.0329694940171
860,Rejewskiego - Auchan,53.1392254244183,18.114745963872
862,Akademicka - Romanowskiej,53.1446119601414,18.1185312779404
864,Akademicka - Romanowskiej,53.1444360691429,18.1166638598284
865,Rejewskiego - Akademicka,53.1415807160844,18.110310071097
866,Rejewskiego - Auchan,53.1384967844386,18.1154409538007
868,Nad Wisłą,53.1579482632282,18.1783583798397
869,Niepodległości,53.1594186484954,18.1650308515837
870,Andersa - Kasztelańska,53.1537581445303,18.1604401918988
872,Andersa - Kasztelańska,53.1545822573666,18.1615779406379
874,Grunwaldzka - Chojnicka,53.1387765770636,17.9517523697081
875,Niklowa,53.1469401245971,17.8998879223681
876,Srebrna - Spiżowa,53.1437480736366,17.9006149589358
877,Srebrna - Stalowa,53.1423576652148,17.9074754843965
878,Podmiejska - Kruszyńska,53.1443072569092,17.9145319443798
879,Grunwaldzka - Kolbego,53.1472254465632,17.9213108370647
880,Grunwaldzka - Przejście,53.1449482796572,17.9294420361701
882,Grunwaldzka - Filtrowa,53.1390836631406,17.9502480825499
883,Grunwaldzka - Flisacka,53.1366845822083,17.9588613726631
